 posicao = [2, 2] - vizinhos: [[3, 2], [2, 3]] 
 posicao = [2, 3] - vizinhos: [[3, 3], [2, 2], [2, 4]] 
 posicao = [2, 4] - vizinhos: [[3, 4], [2, 3], [2, 5]] 
 posicao = [2, 5] - vizinhos: [[3, 5], [2, 4], [2, 6]] 
 posicao = [2, 6] - vizinhos: [[3, 6], [2, 5], [2, 7]] 
 posicao = [2, 7] - vizinhos: [[3, 7], [2, 6], [2, 8]] 
 posicao = [2, 8] - vizinhos: [[3, 8], [2, 7], [2, 9]] 
 posicao = [2, 9] - vizinhos: [[3, 9], [2, 8], [2, 10]] 
 posicao = [2, 10] - vizinhos: [[3, 10], [2, 9], [2, 11]] 
 posicao = [2, 11] - vizinhos: [[3, 11], [2, 10], [2, 12]] 
 posicao = [2, 12] - vizinhos: [[3, 12], [2, 11], [2, 13]] 
 posicao = [2, 13] - vizinhos: [[3, 13], [2, 12], [2, 14]] 
 posicao = [2, 14] - vizinhos: [[3, 14], [2, 13], [2, 15]] 
 posicao = [2, 15] - vizinhos: [[3, 15], [2, 14], [2, 16]] 
 posicao = [2, 16] - vizinhos: [[3, 16], [2, 15], [2, 17]] 
 posicao = [2, 17] - vizinhos: [[3, 17], [2, 16], [2, 18]] 
 posicao = [2, 18] - vizinhos: [[3, 18], [2, 17], [2, 19]] 
 posicao = [2, 19] - vizinhos: [[3, 19], [2, 18], [2, 20]] 
 posicao = [2, 20] - vizinhos: [[3, 20], [2, 19], [2, 21]] 
 posicao = [2, 21] - vizinhos: [[3, 21], [2, 20], [2, 22]] 
 posicao = [2, 22] - vizinhos: [[3, 22], [2, 21], [2, 23]] 
 posicao = [2, 23] - vizinhos: [[3, 23], [2, 22], [2, 24]] 
 posicao = [2, 24] - vizinhos: [[3, 24], [2, 23], [2, 25]] 
 posicao = [2, 25] - vizinhos: [[3, 25], [2, 24], [2, 26]] 
 posicao = [2, 26] - vizinhos: [[3, 26], [2, 25], [2, 27]] 
 posicao = [2, 27] - vizinhos: [[3, 27], [2, 26], [2, 28]] 
 posicao = [2, 28] - vizinhos: [[3, 28], [2, 27], [2, 29]] 
 posicao = [2, 29] - vizinhos: [[3, 29], [2, 28], [2, 30]] 
 posicao = [2, 30] - vizinhos: [[3, 30], [2, 29], [2, 31]] 
 posicao = [2, 31] - vizinhos: [[3, 31], [2, 30], [2, 32]] 
 posicao = [2, 32] - vizinhos: [[3, 32], [2, 31], [2, 33]] 
 posicao = [2, 33] - vizinhos: [[3, 33], [2, 32], [2, 34]] 
 posicao = [2, 34] - vizinhos: [[3, 34], [2, 33], [2, 35]] 
 posicao = [2, 35] - vizinhos: [[3, 35], [2, 34], [2, 36]] 
 posicao = [2, 36] - vizinhos: [[3, 36], [2, 35], [2, 37]] 
 posicao = [2, 37] - vizinhos: [[3, 37], [2, 36], [2, 38]] 
 posicao = [2, 38] - vizinhos: [[3, 38], [2, 37], [2, 39]] 
 posicao = [2, 39] - vizinhos: [[3, 39], [2, 38], [2, 40]] 
 posicao = [2, 40] - vizinhos: [[3, 40], [2, 39], [2, 41]] 
 posicao = [2, 41] - vizinhos: [[3, 41], [2, 40], [2, 42]] 
 posicao = [2, 42] - vizinhos: [[3, 42], [2, 41], [2, 43]] 
 posicao = [2, 43] - vizinhos: [[3, 43], [2, 42], [2, 44]] 
 posicao = [2, 44] - vizinhos: [[3, 44], [2, 43], [2, 45]] 
 posicao = [2, 45] - vizinhos: [[3, 45], [2, 44], [2, 46]] 
 posicao = [2, 46] - vizinhos: [[3, 46], [2, 45], [2, 47]] 
 posicao = [2, 47] - vizinhos: [[3, 47], [2, 46]] 
 posicao = [3, 2] - vizinhos: [[4, 2], [2, 2], [3, 3]] 
 posicao = [3, 3] - vizinhos: [[4, 3], [2, 3], [3, 2], [3, 4]] 
 posicao = [3, 4] - vizinhos: [[4, 4], [2, 4], [3, 3], [3, 5]] 
 posicao = [3, 5] - vizinhos: [[4, 5], [2, 5], [3, 4], [3, 6]] 
 posicao = [3, 6] - vizinhos: [[4, 6], [2, 6], [3, 5], [3, 7]] 
 posicao = [3, 7] - vizinhos: [[4, 7], [2, 7], [3, 6], [3, 8]] 
 posicao = [3, 8] - vizinhos: [[4, 8], [2, 8], [3, 7], [3, 9]] 
 posicao = [3, 9] - vizinhos: [[4, 9], [2, 9], [3, 8], [3, 10]] 
 posicao = [3, 10] - vizinhos: [[4, 10], [2, 10], [3, 9], [3, 11]] 
 posicao = [3, 11] - vizinhos: [[4, 11], [2, 11], [3, 10], [3, 12]] 
 posicao = [3, 12] - vizinhos: [[4, 12], [2, 12], [3, 11], [3, 13]] 
 posicao = [3, 13] - vizinhos: [[4, 13], [2, 13], [3, 12], [3, 14]] 
 posicao = [3, 14] - vizinhos: [[4, 14], [2, 14], [3, 13], [3, 15]] 
 posicao = [3, 15] - vizinhos: [[4, 15], [2, 15], [3, 14], [3, 16]] 
 posicao = [3, 16] - vizinhos: [[4, 16], [2, 16], [3, 15], [3, 17]] 
 posicao = [3, 17] - vizinhos: [[4, 17], [2, 17], [3, 16], [3, 18]] 
 posicao = [3, 18] - vizinhos: [[4, 18], [2, 18], [3, 17], [3, 19]] 
 posicao = [3, 19] - vizinhos: [[4, 19], [2, 19], [3, 18], [3, 20]] 
 posicao = [3, 20] - vizinhos: [[4, 20], [2, 20], [3, 19], [3, 21]] 
 posicao = [3, 21] - vizinhos: [[4, 21], [2, 21], [3, 20], [3, 22]] 
 posicao = [3, 22] - vizinhos: [[4, 22], [2, 22], [3, 21], [3, 23]] 
 posicao = [3, 23] - vizinhos: [[4, 23], [2, 23], [3, 22], [3, 24]] 
 posicao = [3, 24] - vizinhos: [[4, 24], [2, 24], [3, 23], [3, 25]] 
 posicao = [3, 25] - vizinhos: [[4, 25], [2, 25], [3, 24], [3, 26]] 
 posicao = [3, 26] - vizinhos: [[4, 26], [2, 26], [3, 25], [3, 27]] 
 posicao = [3, 27] - vizinhos: [[4, 27], [2, 27], [3, 26], [3, 28]] 
 posicao = [3, 28] - vizinhos: [[4, 28], [2, 28], [3, 27], [3, 29]] 
 posicao = [3, 29] - vizinhos: [[4, 29], [2, 29], [3, 28], [3, 30]] 
 posicao = [3, 30] - vizinhos: [[4, 30], [2, 30], [3, 29], [3, 31]] 
 posicao = [3, 31] - vizinhos: [[4, 31], [2, 31], [3, 30], [3, 32]] 
 posicao = [3, 32] - vizinhos: [[4, 32], [2, 32], [3, 31], [3, 33]] 
 posicao = [3, 33] - vizinhos: [[4, 33], [2, 33], [3, 32], [3, 34]] 
 posicao = [3, 34] - vizinhos: [[4, 34], [2, 34], [3, 33], [3, 35]] 
 posicao = [3, 35] - vizinhos: [[4, 35], [2, 35], [3, 34], [3, 36]] 
 posicao = [3, 36] - vizinhos: [[4, 36], [2, 36], [3, 35], [3, 37]] 
 posicao = [3, 37] - vizinhos: [[4, 37], [2, 37], [3, 36], [3, 38]] 
 posicao = [3, 38] - vizinhos: [[4, 38], [2, 38], [3, 37], [3, 39]] 
 posicao = [3, 39] - vizinhos: [[4, 39], [2, 39], [3, 38], [3, 40]] 
 posicao = [3, 40] - vizinhos: [[4, 40], [2, 40], [3, 39], [3, 41]] 
 posicao = [3, 41] - vizinhos: [[4, 41], [2, 41], [3, 40], [3, 42]] 
 posicao = [3, 42] - vizinhos: [[4, 42], [2, 42], [3, 41], [3, 43]] 
 posicao = [3, 43] - vizinhos: [[4, 43], [2, 43], [3, 42], [3, 44]] 
 posicao = [3, 44] - vizinhos: [[4, 44], [2, 44], [3, 43], [3, 45]] 
 posicao = [3, 45] - vizinhos: [[4, 45], [2, 45], [3, 44], [3, 46]] 
 posicao = [3, 46] - vizinhos: [[4, 46], [2, 46], [3, 45], [3, 47]] 
 posicao = [3, 47] - vizinhos: [[4, 47], [2, 47], [3, 46]] 
 posicao = [4, 2] - vizinhos: [[5, 2], [3, 2], [4, 3]] 
 posicao = [4, 3] - vizinhos: [[5, 3], [3, 3], [4, 2], [4, 4]] 
 posicao = [4, 4] - vizinhos: [[5, 4], [3, 4], [4, 3], [4, 5]] 
 posicao = [4, 5] - vizinhos: [[5, 5], [3, 5], [4, 4], [4, 6]] 
 posicao = [4, 6] - vizinhos: [[5, 6], [3, 6], [4, 5], [4, 7]] 
 posicao = [4, 7] - vizinhos: [[5, 7], [3, 7], [4, 6], [4, 8]] 
 posicao = [4, 8] - vizinhos: [[5, 8], [3, 8], [4, 7], [4, 9]] 
 posicao = [4, 9] - vizinhos: [[5, 9], [3, 9], [4, 8], [4, 10]] 
 posicao = [4, 10] - vizinhos: [[5, 10], [3, 10], [4, 9], [4, 11]] 
 posicao = [4, 11] - vizinhos: [[5, 11], [3, 11], [4, 10], [4, 12]] 
 posicao = [4, 12] - vizinhos: [[5, 12], [3, 12], [4, 11], [4, 13]] 
 posicao = [4, 13] - vizinhos: [[5, 13], [3, 13], [4, 12], [4, 14]] 
 posicao = [4, 14] - vizinhos: [[5, 14], [3, 14], [4, 13], [4, 15]] 
 posicao = [4, 15] - vizinhos: [[5, 15], [3, 15], [4, 14], [4, 16]] 
 posicao = [4, 16] - vizinhos: [[5, 16], [3, 16], [4, 15], [4, 17]] 
 posicao = [4, 17] - vizinhos: [[5, 17], [3, 17], [4, 16], [4, 18]] 
 posicao = [4, 18] - vizinhos: [[5, 18], [3, 18], [4, 17], [4, 19]] 
 posicao = [4, 19] - vizinhos: [[5, 19], [3, 19], [4, 18], [4, 20]] 
 posicao = [4, 20] - vizinhos: [[5, 20], [3, 20], [4, 19], [4, 21]] 
 posicao = [4, 21] - vizinhos: [[5, 21], [3, 21], [4, 20], [4, 22]] 
 posicao = [4, 22] - vizinhos: [[5, 22], [3, 22], [4, 21], [4, 23]] 
 posicao = [4, 23] - vizinhos: [[5, 23], [3, 23], [4, 22], [4, 24]] 
 posicao = [4, 24] - vizinhos: [[5, 24], [3, 24], [4, 23], [4, 25]] 
 posicao = [4, 25] - vizinhos: [[5, 25], [3, 25], [4, 24], [4, 26]] 
 posicao = [4, 26] - vizinhos: [[5, 26], [3, 26], [4, 25], [4, 27]] 
 posicao = [4, 27] - vizinhos: [[5, 27], [3, 27], [4, 26], [4, 28]] 
 posicao = [4, 28] - vizinhos: [[5, 28], [3, 28], [4, 27], [4, 29]] 
 posicao = [4, 29] - vizinhos: [[5, 29], [3, 29], [4, 28], [4, 30]] 
 posicao = [4, 30] - vizinhos: [[5, 30], [3, 30], [4, 29], [4, 31]] 
 posicao = [4, 31] - vizinhos: [[5, 31], [3, 31], [4, 30], [4, 32]] 
 posicao = [4, 32] - vizinhos: [[5, 32], [3, 32], [4, 31], [4, 33]] 
 posicao = [4, 33] - vizinhos: [[5, 33], [3, 33], [4, 32], [4, 34]] 
 posicao = [4, 34] - vizinhos: [[5, 34], [3, 34], [4, 33], [4, 35]] 
 posicao = [4, 35] - vizinhos: [[5, 35], [3, 35], [4, 34], [4, 36]] 
 posicao = [4, 36] - vizinhos: [[5, 36], [3, 36], [4, 35], [4, 37]] 
 posicao = [4, 37] - vizinhos: [[5, 37], [3, 37], [4, 36], [4, 38]] 
 posicao = [4, 38] - vizinhos: [[5, 38], [3, 38], [4, 37], [4, 39]] 
 posicao = [4, 39] - vizinhos: [[5, 39], [3, 39], [4, 38], [4, 40]] 
 posicao = [4, 40] - vizinhos: [[5, 40], [3, 40], [4, 39], [4, 41]] 
 posicao = [4, 41] - vizinhos: [[5, 41], [3, 41], [4, 40], [4, 42]] 
 posicao = [4, 42] - vizinhos: [[5, 42], [3, 42], [4, 41], [4, 43]] 
 posicao = [4, 43] - vizinhos: [[5, 43], [3, 43], [4, 42], [4, 44]] 
 posicao = [4, 44] - vizinhos: [[5, 44], [3, 44], [4, 43], [4, 45]] 
 posicao = [4, 45] - vizinhos: [[5, 45], [3, 45], [4, 44], [4, 46]] 
 posicao = [4, 46] - vizinhos: [[5, 46], [3, 46], [4, 45], [4, 47]] 
 posicao = [4, 47] - vizinhos: [[5, 47], [3, 47], [4, 46]] 
 posicao = [5, 2] - vizinhos: [[6, 2], [4, 2], [5, 3]] 
 posicao = [5, 3] - vizinhos: [[6, 3], [4, 3], [5, 2], [5, 4]] 
 posicao = [5, 4] - vizinhos: [[6, 4], [4, 4], [5, 3], [5, 5]] 
 posicao = [5, 5] - vizinhos: [[6, 5], [4, 5], [5, 4], [5, 6]] 
 posicao = [5, 6] - vizinhos: [[6, 6], [4, 6], [5, 5], [5, 7]] 
 posicao = [5, 7] - vizinhos: [[6, 7], [4, 7], [5, 6], [5, 8]] 
 posicao = [5, 8] - vizinhos: [[6, 8], [4, 8], [5, 7], [5, 9]] 
 posicao = [5, 9] - vizinhos: [[6, 9], [4, 9], [5, 8], [5, 10]] 
 posicao = [5, 10] - vizinhos: [[6, 10], [4, 10], [5, 9], [5, 11]] 
 posicao = [5, 11] - vizinhos: [[6, 11], [4, 11], [5, 10], [5, 12]] 
 posicao = [5, 12] - vizinhos: [[6, 12], [4, 12], [5, 11], [5, 13]] 
 posicao = [5, 13] - vizinhos: [[6, 13], [4, 13], [5, 12], [5, 14]] 
 posicao = [5, 14] - vizinhos: [[6, 14], [4, 14], [5, 13], [5, 15]] 
